,CAS_Number,Chemical_Name,Species_Scientific_Name,Organism_Lifestage,Organism_Age_Mean,Organism_Age_Mean_Op,Exposure_Type,Media_Type,Test_Location,Number_of_Doses,Observed_Response_Mean,Observed_Response_Min,Observed_Response_Max,Observed_Response_Units,ld50_variance,ld50_se,ld50_sd,notes_ld50,Effect,Endpoint,Response_Site,aq_ter,paper code,sample_size,Title,Publication_Year,Observed_Duration_Days,Observed_Duration_Units_Days,Chemical_short,family,genus,Observed_Response_Units_std,Observed_Response_Mean_std,Observed_Response_Min_std,Observed_Response_Max_std
57,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,97.425,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,3,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,97.425,NA,NA
108,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,4.383,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,4.383,NA,NA
109,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,4.546,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,4.546,NA,NA
110,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,3.151,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,3.151,NA,NA
112,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,2.556,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.556,NA,NA
113,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,2.644,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.644,NA,NA
114,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,2.761,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.761,NA,NA
132,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,2.936,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.936,NA,NA
134,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,3.018,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,3.018,NA,NA
135,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,3.336,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,3.336,NA,NA
180,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,3.747,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,3,Day(s),Clothianidin,Apidae,Apis,AI ng/org,3.747,NA,NA
181,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,3.789,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,3.789,NA,NA
182,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,3.885,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,3.885,NA,NA
183,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,4.507,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,4.507,NA,NA
184,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,4.627,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,4.627,NA,NA
185,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,4.369,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,3,Day(s),Clothianidin,Apidae,Apis,AI ng/org,4.369,NA,NA
194,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,4.514,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,3,Day(s),Clothianidin,Apidae,Apis,AI ng/org,4.514,NA,NA
195,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,4.93,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,4.93,NA,NA
196,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,4.671,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,4.671,NA,NA
37,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,34.37,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,34.37,NA,NA
39,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,83.97,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,240,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,83.97,NA,NA
40,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,24.96,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,24.96,NA,NA
41,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,28.81,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,28.81,NA,NA
46,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,65.14,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,65.14,NA,NA
47,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,170.52,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,170.52,NA,NA
48,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,85.47,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,85.47,NA,NA
52,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,59.36,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,59.36,NA,NA
53,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,34.96,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,34.96,NA,NA
54,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,120.65,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,120.65,NA,NA
55,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,29.79,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,29.79,NA,NA
56,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,99.82,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,99.82,NA,NA
115,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,3.68,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,3.68,NA,NA
116,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,3.9,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,3.9,NA,NA
117,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.15,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.15,NA,NA
118,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,4.13,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,4.13,NA,NA
119,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.26,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.26,NA,NA
120,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,3.59,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,3.59,NA,NA
121,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.31,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.31,NA,NA
122,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,4.27,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,4.27,NA,NA
123,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,4.32,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,4.32,NA,NA
124,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,5.01,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,5.01,NA,NA
125,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,5.08,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,5.08,NA,NA
126,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,4.52,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,4.52,NA,NA
127,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.48,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.48,NA,NA
128,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.44,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.44,NA,NA
129,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.44,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.44,NA,NA
130,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,1.65,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,1.65,NA,NA
131,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,1.99,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,1.99,NA,NA
133,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,1.64,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,1.64,NA,NA
170,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,5.37,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,5.37,NA,NA
171,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,4.83,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Clothianidin,Apidae,Apis,AI ng/org,4.83,NA,NA
172,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,5.07,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,5.07,NA,NA
173,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.16,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Clothianidin,Apidae,Apis,AI ng/org,2.16,NA,NA
174,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.19,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,2.19,NA,NA
175,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.2,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,2.2,NA,NA
176,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.79,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Clothianidin,Apidae,Apis,AI ng/org,2.79,NA,NA
178,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.75,NA,NA,AI ng/org,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers",Mortality,LD50,Not reported,Terrestrial,23,160,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,2.75,NA,NA
